Algeria,0,0.00000000,47
Argentina,7,0.00000000,4
Australia,71,0.00000000,17
Austria,29,0.00000000,20
Bangladesh,0,0.00000000,65
Belgium,27,0.00000000,11
Brazil,5,0.00000000,7
Canada,64,0.00000000,9
Chile,6,0.00000000,6
Colombia,5,0.00000000,7
Croatia,24,0.00000000,0
Czechia,55,0.00000000,0
Denmark,34,0.00000000,0
Egypt,0,0.00000000,15
Finland,32,0.00000000,0
France,9,0.00000000,8
Germany,25,0.00000000,25
Greece,22,0.00000000,15
Hong Kong,36,0.00000000,0
Hungary,24,0.00000000,17
India,42,0.00000000,24
Indonesia,25,0.00000000,7
Iran,0,0.00000000,7
Ireland,61,0.00000000,12
Israel,20,0.00000000,0
Italy,9,0.00000000,10
Japan,4,0.00000000,2
Kazakhstan,0,0.00000000,13
Kenya,0,0.00000000,20
Malaysia,34,0.00000000,15
Mexico,13,0.00000000,10
Morocco,0,0.00000000,20
Netherlands,37,0.00000000,11
New Zealand,66,0.00000000,0
Nigeria,0,0.00000000,18
Norway,37,0.00000000,0
Pakistan,11,0.00000000,10
Peru,0,0.00000000,8
Philippines,56,0.00000000,12
Poland,14,0.00000000,19
Portugal,16,0.00000000,18
Romania,24,0.00000000,13
Russia,5,0.00000000,11
Saudi Arabia,10,0.00000000,13
Serbia,18,0.00000000,0
Singapore,70,0.00000000,14
Slovakia,41,0.00000000,0
South Africa,41,0.00000000,13
South Korea,10,0.00000000,0
Spain,8,0.00000000,10
Sri Lanka,0,0.00000000,34
Sweden,31,0.00000000,7
Switzerland,28,0.00000000,15
Taiwan,10,0.00000000,0
Thailand,16,0.00000000,5
Turkey,15,0.00000000,7
Ukraine,5,0.00000000,12
United Arab Emirates,40,0.00000000,24
United Kingdom,100,0.00000000,16
United States,80,0.00000000,8
Venezuela,0,0.00000000,9
Vietnam,5,0.00000000,20
